character,gender,decade,ratio,pinyin,x_order,decades
明,m,1930–1959,87,Ming2,1,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
文,m,1930–1959,71,Wen2,2,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
国,m,1930–1959,70,Guo2,3,"1930–1959 1960s, 1970s, 1980s"
德,m,1930–1959,65,De2,4,"1930–1959, 1960s"
华,m,1930–1959,63,Hua2,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
生,m,1930–1959,56,Sheng1,6,"1930–1959, 1960s"
林,m,1930–1959,53,Lin2,1,"1930–1959, 1960s, 1970s"
金,m,1930–1959,50,Jin1,2,1930–1959 1960s
成,m,1930–1959,50,Cheng2,3,"1930–1959, 1960s, 1970s"
玉,m,1930–1959,48,Yu4,4,"1930–1959, 1960s"
志,m,1930–1959,44,Zhi4,5,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
荣,m,1930–1959,43,Rong2,6,"1930–1959, 1960s"
永,m,1930–1959,42,Yong3,1,"1930–1959, 1960s, 1970s, 1980s"
福,m,1930–1959,42,Fu2,2,1930–1959
祥,m,1930–1959,41,Xiang2,3,1930–1959
兴,m,1930–1959,37,Xing1,4,1930–1959
忠,m,1930–1959,37,Zhong1,5,"1930–1959, 1960s"
海,m,1930–1959,35,Hai3,6,"1930–1959, 1960s, 1970s, 1980s, 1990s"
建,m,1930–1959,33,Jian4,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
学,m,1930–1959,33,Xue2,2,1930–1959
明,m,1960s,83.73,Ming2,3,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
国,m,1960s,79.2,Guo2,4,"1930–1959, 1960s, 1970s, 1980s"
华,m,1960s,68.94,Hua2,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
文,m,1960s,67.7,Wen2,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
建,m,1960s,65.29,Jian4,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
军,m,1960s,62.89,Jun1,2,"1960s, 1970s, 1980s,"
平,m,1960s,56.73,Ping2,3,"1960s, 1970s, 1980s,"
林,m,1960s,47.78,Lin2,4,"1930–1959, 1960s, 1970s"
志,m,1960s,44.83,Zhi4,5,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
永,m,1960s,42.37,Yong3,6,"1930–1959, 1960s, 1970s, 1980s"
德,m,1960s,41.85,De2,1,"1930–1959, 1960s"
海,m,1960s,41.28,Hai3,2,"1930–1959, 1960s, 1970s, 1980s, 1990s"
生,m,1960s,40.6,Sheng1,3,"1930–1959, 1960s"
金,m,1960s,40.39,Jin1,4,"1930–1959, 1960s"
忠,m,1960s,39.78,Zhong1,5,"1930–1959, 1960s"
成,m,1960s,38.44,Cheng2,6,"1930–1959, 1960s, 1970s"
玉,m,1960s,36.45,Yu4,1,"1930–1959, 1960s"
新,m,1960s,36.45,Xin1,2,1960s
春,m,1960s,34.07,Chun1,3,"1960s, 1970s"
荣,m,1960s,31.23,Rong2,4,"1930–1959, 1960s"
军,m,1970s,95.22,Jun1,5,"1960s, 1970s, 1980s,"
国,m,1970s,71.17,Guo2,6,"1930–1959, 1960s, 1970s, 1980s"
建,m,1970s,71.04,Jian4,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
华,m,1970s,68.96,Hua2,2,"1930–1959, 1960s, 1970s, 1980s, 1990s"
明,m,1970s,68.67,Ming2,3,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
文,m,1970s,54.79,Wen2,4,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
海,m,1970s,54.36,Hai3,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
志,m,1970s,52.26,Zhi4,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
平,m,1970s,51.02,Ping2,1,"1960s, 1970s, 1980s,"
伟,m,1970s,47.86,Wei3,2,"1970s, 1980s, 1990s, 2000s"
永,m,1970s,47.8,Yong3,3,"1930–1959, 1960s, 1970s, 1980s"
强,m,1970s,40.83,Qiang2,4,"1970s, 1980s, 1990s"
林,m,1970s,38.96,Lin2,5,"1930–1959, 1960s, 1970s"
勇,m,1970s,38.59,Yong3,6,"1970s, 1980s"
红,m,1970s,34.94,Hong2,1,1970s
春,m,1970s,34.61,Chun1,2,"1960s, 1970s"
东,m,1970s,33.52,Dong1,3,"1970s, 1980s"
辉,m,1970s,32.38,Hui1,4,"1970s, 1980s, 1990s"
小,m,1970s,31.73,Xiao3,5,"1970s, 1980s"
成,m,1970s,31.31,Cheng2,6,"1930–1959, 1960s, 1970s"
伟,m,1980s,78.2,Wei3,1,"1970s, 1980s, 1990s, 2000s"
明,m,1980s,66.84,Ming2,2,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
军,m,1980s,64.74,Jun1,3,"1960s, 1970s, 1980s,"
海,m,1980s,61.72,Hai3,4,"1930–1959, 1960s, 1970s, 1980s, 1990s"
文,m,1980s,60.19,Wen2,5,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
龙,m,1980s,58.92,Long2,6,"1980s, 1990s, 2000s"
建,m,1980s,55.56,Jian4,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
志,m,1980s,55.53,Zhi4,2,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
华,m,1980s,53.82,Hua2,3,"1930–1959, 1960s, 1970s, 1980s, 1990s"
强,m,1980s,51.17,Qiang2,4,"1970s, 1980s, 1990s"
国,m,1980s,46.89,Guo2,5,"1930–1959, 1960s, 1970s, 1980s"
林,m,1980s,40.27,Lin2,6,"1930–1959, 1960s, 1970s"
永,m,1980s,39.81,Yong3,1,"1930–1959, 1960s, 1970s, 1980s"
小,m,1980s,39.53,Xiao3,2,"1970s, 1980s"
辉,m,1980s,38.82,Hui1,3,"1970s, 1980s, 1990s"
平,m,1980s,38.58,Ping2,4,"1960s, 1970s, 1980s,"
涛,m,1980s,38.37,Tao1,5,"1980s, 1990s, 2000s"
飞,m,1980s,37.41,Fei1,6,"1980s, 1990s"
杰,m,1980s,36.9,Jie2,1,"1980s, 1990s, 2000s"
勇,m,1980s,36.73,Yong3,2,"1970s, 1980s"
文,m,1990s,79.86,Wen2,3,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
伟,m,1990s,74.55,Wei3,4,"1970s, 1980s, 1990s, 2000s"
志,m,1990s,61.89,Zhi4,5,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
杰,m,1990s,61.61,Jie2,6,"1980s, 1990s, 2000s"
明,m,1990s,60.3,Ming2,1,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
鹏,m,1990s,57.93,Peng2,2,"1990s, 2000s"
龙,m,1990s,56.77,Long2,3,"1980s, 1990s, 2000s"
强,m,1990s,56.42,Qiang2,4,"1970s, 1980s, 1990s"
宇,m,1990s,45.4,Yu3,5,"1990s, 2000s"
超,m,1990s,45.27,Chao1,6,1990s
海,m,1990s,44.18,Hai3,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
林,m,1990s,42.63,Lin2,2,"1930–1959, 1960s, 1970s"
飞,m,1990s,42.33,Fei1,3,"1980s, 1990s"
东,m,1990s,40.66,Dong1,4,"1970s, 1980s"
涛,m,1990s,40.5,Tao1,5,"1980s, 1990s, 2000s"
建,m,1990s,38.94,Jian4,6,"1930–1959, 1960s, 1970s, 1980s, 1990s"
辉,m,1990s,38.48,Hui1,1,"1970s, 1980s, 1990s"
俊,m,1990s,38.34,Jun4,2,"1990s, 2000s"
浩,m,1990s,37.71,Hao4,3,"1990s, 2000s"
华,m,1990s,36.24,Hua2,4,"1930–1959, 1960s, 1970s, 1980s, 1990s"
宇,m,2000s,95.04,Yu3,5,"1990s, 2000s"
文,m,2000s,81.77,Wen2,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
杰,m,2000s,70.4,Jie2,1,"1980s, 1990s, 2000s"
浩,m,2000s,61.91,Hao4,2,"1990s, 2000s"
豪,m,2000s,57.37,Hao2,3,2000s
龙,m,2000s,57.03,Long2,4,"1980s, 1990s, 2000s"
俊,m,2000s,52.42,Jun4,5,"1990s, 2000s"
志,m,2000s,47.66,Zhi4,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
子,m,2000s,47.65,Zi3,1,2000s
鑫,m,2000s,47.28,Xin1,2,2000s
佳,m,2000s,45.14,Jia1,3,2000s
伟,m,2000s,44.46,Wei3,4,"1970s, 1980s, 1990s, 2000s"
鹏,m,2000s,43.01,Peng2,5,"1990s, 2000s"
明,m,2000s,40.32,Ming2,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
博,m,2000s,39.56,Bo2,1,2000s
涛,m,2000s,38.57,Tao1,2,"1980s, 1990s, 2000s"
泽,m,2000s,35.63,Ze2,3,2000s
嘉,m,2000s,32.94,Jia1,4,2000s
家,m,2000s,31.35,Jia1,5,2000s
阳,m,2000s,30.49,Yang2,6,2000s
